iter	Logloss
0	0.6816982458
1	0.6714848312
2	0.6582021907
3	0.6479171378
4	0.6352463214
5	0.6230754052
6	0.6120132506
7	0.6019120823
8	0.5927129294
9	0.5845491358
10	0.5760198034
11	0.5663874458
12	0.5585857159
13	0.552237287
14	0.5433737937
15	0.5345861736
16	0.527734161
17	0.5216254843
18	0.5133866136
19	0.505142606
20	0.4978726036
21	0.4907495116
22	0.4868744475
23	0.4820531461
24	0.4758960599
25	0.466418709
26	0.4601932243
27	0.4540439995
28	0.4481491822
29	0.4431499133
30	0.4373125881
31	0.4319864643
32	0.4266000649
33	0.4229928049
34	0.4178740079
35	0.4132855134
36	0.4078324685
37	0.4032566863
38	0.3977772541
39	0.393826999
40	0.3888462516
41	0.3858230755
42	0.3817218673
43	0.3773510224
44	0.3739783753
45	0.3711402836
46	0.3674813177
47	0.3632521714
48	0.3592286984
49	0.3551393886
50	0.3503836442
51	0.3460726833
52	0.3418749104
53	0.3387455716
54	0.3360424334
55	0.3337977934
56	0.3307779094
57	0.328364043
58	0.3263181547
59	0.3238465529
60	0.3202615962
61	0.3162713896
62	0.3124859667
63	0.3099610491
64	0.3082301398
65	0.3050320712
66	0.3028226978
67	0.2998700406
68	0.2963297076
69	0.2939354598
70	0.2910774706
71	0.2885395341
72	0.2863437112
73	0.28419222
74	0.2816656926
75	0.2777088363
76	0.2750464365
77	0.2736893522
78	0.2709014575
79	0.2687190936
80	0.2670004312
81	0.2632834007
82	0.2609662471
83	0.2587741461
84	0.2557990732
85	0.2530257786
86	0.2516644548
87	0.2499706209
88	0.2480667185
89	0.2456162824
90	0.2437358738
91	0.2425443704
92	0.2410849174
93	0.2390678267
94	0.2373077966
95	0.236097046
96	0.233352832
97	0.2307855325
98	0.2290736129
99	0.2277341882
100	0.2255058377
101	0.2237732272
102	0.2218795807
103	0.2195539821
104	0.2181126016
105	0.2165590834
106	0.2144797825
107	0.2126668194
108	0.2112991532
109	0.209231562
110	0.2078205464
111	0.2065361639
112	0.2044362141
113	0.203513577
114	0.2024442299
115	0.2008189128
116	0.1997551707
117	0.1985121675
118	0.1970515094
119	0.1950955702
120	0.1941877721
121	0.1929737785
122	0.1912663644
123	0.1896829786
124	0.1886706597
125	0.1874874153
126	0.1864018516
127	0.1848615856
128	0.1837028287
129	0.1830401379
130	0.1822368589
131	0.1813393988
132	0.1800018682
133	0.1789720823
134	0.1775113574
135	0.1764283478
136	0.1742275031
137	0.1733539667
138	0.171756091
139	0.170383057
140	0.1685893484
141	0.1675873069
142	0.1666843729
143	0.1653416327
144	0.1643168446
145	0.1632788408
146	0.1625027848
147	0.1612589722
148	0.1603770759
149	0.1595096318
150	0.158325243
151	0.1570976152
152	0.1558190076
153	0.1545904896
154	0.1536695648
155	0.153141434
156	0.1525827187
157	0.1515431857
158	0.1510341373
159	0.1501612909
160	0.1493012554
161	0.1481233455
162	0.1471932779
163	0.145851329
164	0.145059575
165	0.143833841
166	0.1434363723
167	0.1428101005
168	0.141766342
169	0.1407038082
170	0.1395365034
171	0.1383828435
172	0.1376580233
173	0.1367138604
174	0.1363603788
175	0.135375389
176	0.1347211965
177	0.1340411655
178	0.1331827603
179	0.1323322997
180	0.1314370828
181	0.1303362207
182	0.1297208968
183	0.1288354725
184	0.1279724977
185	0.1273568503
186	0.1266123521
187	0.1259846207
188	0.1249962769
189	0.1242635083
190	0.1234676793
191	0.1224682107
192	0.1218614368
193	0.1211136251
194	0.1207765197
195	0.1198704941
196	0.1192737348
197	0.1187980427
198	0.1181228046
199	0.1173773499
