iter	Passed	Remaining
0	7	1397
1	12	1267
2	19	1271
3	25	1271
4	32	1264
5	38	1252
6	43	1188
7	47	1132
8	51	1086
9	55	1047
10	65	1128
11	78	1233
12	94	1353
13	106	1421
14	117	1446
15	128	1481
16	137	1476
17	146	1478
18	153	1466
19	161	1451
20	170	1454
21	178	1442
22	185	1426
23	191	1406
24	198	1392
25	205	1376
26	212	1361
27	220	1351
28	229	1355
29	237	1344
30	244	1334
31	251	1321
32	258	1309
33	266	1301
34	273	1289
35	280	1279
36	288	1270
37	295	1257
38	301	1242
39	307	1229
40	314	1219
41	320	1207
42	328	1201
43	336	1193
44	345	1190
45	353	1182
46	359	1170
47	367	1162
48	373	1152
49	382	1146
50	388	1135
51	395	1125
52	402	1115
53	408	1105
54	417	1099
55	423	1089
56	431	1081
57	438	1074
58	445	1064
59	452	1055
60	460	1049
61	466	1038
62	472	1027
63	478	1015
64	483	1003
65	488	992
66	493	980
67	499	969
68	504	958
69	511	949
70	516	938
71	521	927
72	526	916
73	532	905
74	537	895
75	542	884
76	547	874
77	552	864
78	557	853
79	562	843
80	567	833
81	571	822
82	576	812
83	580	802
84	585	792
85	590	782
86	595	772
87	599	762
88	603	753
89	608	744
90	614	735
91	619	726
92	624	718
93	628	708
94	632	699
95	638	691
96	643	683
97	649	675
98	655	668
99	660	660
100	665	652
101	670	644
102	674	635
103	679	626
104	684	619
105	689	611
106	693	602
107	698	594
108	702	586
109	707	578
110	712	571
111	716	563
112	722	556
113	727	548
114	731	540
115	736	533
116	741	525
117	746	518
118	750	511
119	755	503
120	760	496
121	765	489
122	770	482
123	774	474
124	779	467
125	784	460
126	789	454
127	794	447
128	800	440
129	805	433
130	810	426
131	815	419
132	820	413
133	825	406
134	830	399
135	835	393
136	840	386
137	845	379
138	850	373
139	854	366
140	859	359
141	864	353
142	869	346
143	874	340
144	879	333
145	884	327
146	889	320
147	894	314
148	899	307
149	904	301
150	909	295
151	914	288
152	920	282
153	924	276
154	929	269
155	935	263
156	940	257
157	945	251
158	951	245
159	956	239
160	961	232
161	966	226
162	972	220
163	977	214
164	982	208
165	987	202
166	992	196
167	997	189
168	1002	183
169	1006	177
170	1011	171
171	1017	165
172	1022	159
173	1027	153
174	1032	147
175	1037	141
176	1042	135
177	1046	129
178	1051	123
179	1056	117
180	1061	111
181	1066	105
182	1071	99
183	1076	93
184	1081	87
185	1087	81
186	1092	75
187	1097	70
188	1103	64
189	1108	58
190	1114	52
191	1119	46
192	1124	40
193	1130	34
194	1135	29
195	1139	23
196	1144	17
197	1149	11
198	1154	5
199	1159	0
